source,brand,product,url,rating,review_text,review_date
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,5,"I absolutely love the Fenty Pro Filt’r Soft Matte Foundation! The coverage is flawless, the finish is smooth and natural, and it truly lasts all day without feeling heavy. It blends beautifully and gives my skin that soft, airbrushed look. Hands down, one of the best foundations I’ve ever used—Rihanna really did her thing with this one!",2025-06-24T00:03:36.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,5,"I love THIS FOUNDATION SO MUCH its one of the best foundations you’ll ever use I have oily and dry combination skin so this literally works if you either skin, so amazing and it’s honestly so good 10/10 and the  price is so good too like 40$ worth it!!!!",2025-06-23T20:53:48.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,3,"Not super full coverage. It lays on nicely, but the coverage isn’t there. It’s better for those who may not have scaring or acne",2025-06-23T20:15:39.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,2,"i gave a 2 star because I like how the product feels on my skin, BUT........It claims it mattifies but I still look like a greasy chicken wing.",2025-06-18T03:27:21.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,5,"Tried the Fenty Beauty foundation today — and yes, the hype is REAL 💁🏽‍♀️🔥",2025-06-13T00:10:06.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,5,"This shade was too light for me but it feels very nice on the skin. The coverage is very nice. I believe it’s medium coverage but it covers all my dark spots and blemishes pretty well. Doesn’t leave my skin feeling dry. I like it, wish I had it in my shade",2025-06-10T20:08:24.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,5,THE BEST!!! Use a brush to apply this.. i made the mistake of trying a blender and it became super blotchy throughout the day. The brush gave a super filtered finish that lasted with the right setter ;),2025-06-09T22:48:07.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,5,"this was my love at first shade match LOL i've tried different foundations/skin tints but i just keep coming back to this. so lightweight, don't care if i use it everyday for summer cause it's actually NON-COMEDOGENIC?? I'M SOLD!",2025-06-08T06:15:00.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,5,"Gives very nice beautiful coverage, it looks so nice in person and on camera and doesn’t feel heavy at ALL",2025-06-06T21:12:53.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,5,I never write reviews but I have to say- this foundation is like a miracle if your biggest concern is oily skin like me. I live in hot humid Florida and my makeup used to melt off. This doesn’t. Buy it if primers used to laugh at you.,2025-06-05T22:04:04.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,5,"So natural, First time I purchased it in 2021 and still buy this. I would love to try more products from #Fentybeauty.",2025-05-30T12:35:45.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,5,"The hype this product is definitely worth a purchase, because the way this went on to my skin like butter and spread into my skin tone like it was my actual face?! I was shocked. A little goes a far way, and as I said, it spreads well. Just ensure you get a shade test so you buy the right color, and you are good to go!!!",2025-05-28T15:38:07.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,5,"I love this foundation so much! It is super easy to apply and blend into my skin, usually other foundations can feel cakey and too heavy on my face, but this Fenty!! So good and soft! I use shade 300 and pair it with the hourglasses concealer “Dune”",2025-05-27T19:49:07.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,3,I like the way it feels and the bottle/pump but this foundation sometimes looks very cakey and patchy and I end up just removing it and using a different one bc there’s no way I can walk out of the house like that 🥲 I think I’ll go back to my regular cheaper target foundation,2025-05-25T15:21:10.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,2,"i hate it, it’s so hard to blend and irritate my skin so bad! the coverage it’s the only thing good about this product",2025-05-25T02:47:34.000+00:00
sephora,Fenty Beauty,Pro Filt'r - 495 Very Deep Cool,https://www.sephora.com/product/pro-filtr-soft-matte-longwear-foundation-P87985432?skuId=2164689,5,I forgot to write important information in my last review. First this foundation goes on light it darkens on. Second you need to find the perfect amount for you. You only need a little. Also when I forget to shake the bottle that also makes a difference.,2025-05-20T20:08:07.000+00:00
